2012-10-31 12:19:12.4292 INFO Task Error with NHibernate session
2012-10-31 12:19:13.1343 INFO Task Error with NHibernate session
2012-10-31 12:20:49.0519 INFO Task Components are initialized
2012-10-31 12:20:53.3543 INFO Task Error with NHibernate session
2012-10-31 12:21:09.4569 INFO Task Error with NHibernate session
2012-10-31 12:21:13.0193 INFO Task Error with NHibernate session
2012-10-31 12:21:13.7273 INFO Task Error with NHibernate session
2012-10-31 12:22:14.8474 INFO Task Components are initialized
2012-10-31 12:22:20.2960 INFO Task Error with NHibernate session
2012-10-31 12:22:24.4034 INFO Task Error with NHibernate session
2012-10-31 12:22:48.0098 INFO Task Components are initialized
2012-10-31 12:22:53.2823 INFO Task Error with NHibernate session
2012-10-31 12:23:02.2642 INFO Task Error with NHibernate session
2012-10-31 12:23:03.6623 INFO Task Error with NHibernate session
2012-10-31 12:23:04.3514 INFO Task Error with NHibernate session
2012-10-31 12:23:46.6016 INFO Task Error with NHibernate session
2012-10-31 12:25:23.1763 INFO Task Components are initialized
2012-10-31 12:25:27.2177 INFO Task Error with NHibernate session
2012-10-31 12:25:33.4113 INFO Task Error with NHibernate session
2012-10-31 12:26:45.0065 INFO Task Error with NHibernate session
2012-10-31 12:26:49.3059 INFO Task Error with NHibernate session
2012-10-31 12:29:12.9762 INFO Task Components are initialized
2012-10-31 12:29:20.3540 INFO Task Error with NHibernate session
2012-10-31 12:29:25.8835 INFO Task Error with NHibernate session
2012-10-31 12:29:31.8381 INFO Task Error with NHibernate session
2012-10-31 12:29:32.8632 INFO Task Error with NHibernate session
2012-10-31 12:30:19.7949 INFO Task Error with NHibernate session
2012-10-31 12:30:49.0719 INFO Task Error with NHibernate session
2012-10-31 12:30:51.1811 INFO Task Error with NHibernate session
2012-10-31 12:31:38.3928 INFO Task Error with NHibernate session
2012-10-31 12:31:40.5340 INFO Task Error with NHibernate session
2012-10-31 12:32:19.2373 INFO Task Error with NHibernate session
2012-10-31 12:32:39.1723 INFO Task Error with NHibernate session
2012-10-31 12:33:09.8473 INFO Task Error with NHibernate session
2012-10-31 12:34:07.6253 INFO Task Error with NHibernate session
2012-10-31 12:34:07.7363 INFO Task Error with NHibernate session
2012-10-31 12:34:36.7123 INFO Task Error with NHibernate session
2012-10-31 12:34:37.4303 INFO Task Error with NHibernate session
2012-10-31 12:36:37.1793 INFO Task Error with NHibernate session
2012-10-31 12:38:03.2803 INFO Task Error with NHibernate session
2012-10-31 12:38:04.2543 INFO Task Error with NHibernate session
2012-10-31 12:40:23.9963 INFO Task Components are initialized
2012-10-31 12:40:50.9873 INFO Task Error with NHibernate session
2012-10-31 12:40:53.9923 INFO Task Error with NHibernate session
2012-10-31 12:40:54.2013 INFO Task Error with NHibernate session
2012-10-31 12:41:43.0793 INFO Task Components are initialized
2012-10-31 12:41:47.9543 INFO Task Error with NHibernate session
2012-10-31 12:41:49.9013 INFO Task Error with NHibernate session
2012-10-31 12:41:50.5963 INFO Task Error with NHibernate session
2012-10-31 12:43:02.7913 INFO Task Components are initialized
2012-10-31 12:43:05.7513 INFO Task Error with NHibernate session
2012-10-31 12:43:07.8793 INFO Task Error with NHibernate session
2012-10-31 12:44:02.3343 INFO Task Components are initialized
2012-10-31 12:44:08.6103 INFO Task Error with NHibernate session
2012-10-31 12:44:10.8623 INFO Task Error with NHibernate session
2012-10-31 12:44:11.0523 INFO Task Error with NHibernate session
2012-10-31 12:44:24.8503 INFO Task Error with NHibernate session
2012-10-31 12:44:26.6173 INFO Task Error with NHibernate session
2012-10-31 12:44:26.6933 INFO Task Error with NHibernate session
2012-10-31 12:44:45.7813 INFO Task Error with NHibernate session
2012-10-31 12:45:00.8953 INFO Task Error with NHibernate session
2012-10-31 12:45:01.5623 INFO Task Error with NHibernate session
2012-10-31 12:46:01.6323 INFO Task Error with NHibernate session
2012-10-31 12:46:02.4333 INFO Task Error with NHibernate session
2012-10-31 12:46:03.4573 INFO Task Error with NHibernate session
2012-10-31 12:46:14.3423 INFO Task Error with NHibernate session
2012-10-31 12:46:14.9853 INFO Task Error with NHibernate session
2012-10-31 12:48:30.4200 INFO Task Error with NHibernate session
2012-10-31 12:48:31.0921 INFO Task Error with NHibernate session
2012-10-31 12:49:05.2925 INFO Task Error with NHibernate session
2012-10-31 12:49:32.5472 INFO Task Error with NHibernate session
2012-10-31 12:49:55.3585 INFO Task Error with NHibernate session
2012-10-31 12:49:55.6285 INFO Task Error with NHibernate session
2012-10-31 12:57:10.5090 INFO Task Error with NHibernate session
2012-10-31 12:59:20.0149 INFO Task Error with NHibernate session
2012-10-31 12:59:33.0993 INFO Task Error with NHibernate session
2012-10-31 12:59:33.8183 INFO Task Error with NHibernate session
2012-10-31 13:00:20.5340 INFO Task Error with NHibernate session
2012-10-31 13:00:21.2951 INFO Task Error with NHibernate session
2012-10-31 13:00:43.5643 INFO Task Error with NHibernate session
2012-10-31 13:28:46.2196 INFO Task Components are initialized
2012-10-31 13:28:51.4561 INFO Task Error with NHibernate session
2012-10-31 13:28:54.3474 INFO Task Error with NHibernate session
2012-10-31 13:28:54.6344 INFO Task Error with NHibernate session
2012-10-31 13:30:19.7849 INFO Task Error with NHibernate session
2012-10-31 13:30:20.5070 INFO Task Error with NHibernate session
2012-10-31 13:30:44.7324 INFO Task Error with NHibernate session
2012-10-31 13:30:47.4507 INFO Task Error with NHibernate session
2012-10-31 13:30:50.4100 INFO Task Error with NHibernate session
2012-10-31 13:30:50.4310 INFO Task Error with NHibernate session
2012-10-31 13:30:51.9411 INFO Task Error with NHibernate session
2012-10-31 13:30:54.9404 INFO Task Error with NHibernate session
2012-10-31 13:30:58.6608 INFO Task Error with NHibernate session
2012-10-31 13:31:04.0454 INFO Task Error with NHibernate session
2012-10-31 13:31:04.9764 INFO Task Error with NHibernate session
2012-10-31 13:31:05.7315 INFO Task Error with NHibernate session
2012-10-31 13:31:07.5107 INFO Task Error with NHibernate session
2012-10-31 13:33:30.9390 INFO Task Error with NHibernate session
2012-10-31 13:37:48.9998 INFO Task Error with NHibernate session
2012-10-31 13:37:51.4171 INFO Task Error with NHibernate session
2012-10-31 13:37:51.5471 INFO Task Error with NHibernate session
2012-10-31 13:38:27.3947 INFO Task Error with NHibernate session
2012-10-31 13:38:28.5578 INFO Task Error with NHibernate session
2012-10-31 13:38:31.5581 INFO Task Error with NHibernate session
2012-10-31 13:38:51.3391 INFO Task Error with NHibernate session
2012-10-31 13:40:16.9786 INFO Task Error with NHibernate session
2012-10-31 13:40:17.4857 INFO Task Error with NHibernate session
2012-10-31 13:40:17.5957 INFO Task Error with NHibernate session
2012-10-31 13:40:29.7619 INFO Task Error with NHibernate session
2012-10-31 13:41:27.6077 INFO Task Error with NHibernate session
2012-10-31 13:41:51.2801 INFO Task Error with NHibernate session
